Timestamp (S),Arc Main Current (A),Arc Main Voltage (V),Arc Main Energy (J)
6.61325,0.000485547,,0.03312514
6.6135,0.000490942,,0.03312551
6.61375,0.000517992,,0.0331259
6.614,0.00055599,2.992,0.03312632
6.61425,0.000641662,,0.03312679
6.6145,0.00071565,,0.03312732
6.61475,0.00084144,,0.03312795
6.615,0.001031377,2.967,0.03312871
6.61525,0.001537387,,0.03312986
6.6155,0.001777375,,0.03313118
6.61575,0.001952434,,0.03313264
6.616,0.002041072,2.981,0.03313416
6.61625,0.002043169,,0.03313569
6.6165,0.001860835,,0.03313708
6.61675,0.001738893,,0.03313839
6.617,0.001644323,2.998,0.03313962
6.61725,0.00159887,,0.03314082
6.6175,0.001598135,,0.03314203
6.61775,0.001620724,,0.03314325
6.618,0.001638724,3.013,0.03314448
6.61825,0.001587339,,0.03314568
6.6185,0.001509815,,0.03314682
6.61875,0.0014076,,0.03314789
6.619,0.001288738,3.023,0.03314886
6.61925,0.001029365,,0.03314964
6.6195,0.000900413,,0.03315032
6.61975,0.000780113,,0.03315091
6.62,0.000674463,3.019,0.03315142
6.62025,0.000535816,,0.03315182
6.6205,0.000516592,,0.03315221
6.62075,0.000530027,,0.0331526
6.621,0.000562112,3.002,0.03315302
6.62125,0.000622437,,0.03315349
6.6215,0.000659979,,0.03315398
6.62175,0.000732995,,0.03315452
6.622,0.000864988,2.968,0.03315516
6.62225,0.001312044,,0.03315614
6.6225,0.001580163,,0.03315731
6.62275,0.001823739,,0.03315867
6.623,0.002003757,2.976,0.03316016
6.62325,0.002092352,,0.03316173
6.6235,0.00208549,,0.03316329
6.62375,0.001998153,,0.03316478
6.624,0.001868195,2.994,0.03316618
6.62425,0.00166192,,0.03316743
6.6245,0.001630153,,0.03316866
6.62475,0.001635767,,0.03316989
6.625,0.001655841,3.01,0.03317114
6.62525,0.001672526,,0.0331724
6.6255,0.001646611,,0.03317364
6.62575,0.001591866,,0.03317485
6.626,0.00150385,3.022,0.03317598
6.62625,0.001230477,,0.03317691
6.6265,0.001063836,,0.03317772
6.62675,0.000897936,,0.0331784
6.627,0.000750444,3.022,0.03317896
6.62725,0.000563768,,0.03317939
6.6275,0.000538953,,0.03317979
6.62775,0.000553124,,0.03318021
6.628,0.000584534,3.009,0.03318065
6.62825,0.000617597,,0.03318111
6.6285,0.000615006,,0.03318156
6.62875,0.000626281,,0.03318203
6.629,0.000679954,2.974,0.03318254
6.62925,0.000798474,,0.03318313
6.6295,0.000990019,,0.03318386
6.62975,0.001240167,,0.03318479
6.63,0.001515405,2.973,0.03318591
6.63025,0.001958665,,0.03318738
6.6305,0.00205275,,0.03318891
6.63075,0.002046173,,0.03319044
6.631,0.001962077,2.99,0.03319191
6.63125,0.001724267,,0.0331932
6.6315,0.001634097,,0.03319443
